preview,source,fileLocation,fileName,symbol_lv1_cn,symbol_lv1_en,symbol_lv2_cn,symbol_lv2_en,name_cn,name_en,description_cn,description_en,medium_lv1_cn,medium_lv1_en,medium_lv2_cn,medium_lv2_en,medium_lv3_cn,medium_lv3_en,time_lv1_cn,time_lv1_en,time_lv2_cn,time_lv2_en,location_cn,location_en,subject_lv1_cn,subject_lv1_en,subject_lv2_cn,subject_lv2_en,subject_lv3_cn,subject_lv3_en,structure_cn,structure_en,morphology_cn,morphology_en,style_cn,style_en,quality_cn,quality_en,remark,,,,,,,,,
 ,298,,龙_001 (19),动物,Creature,龙,dragon,蟠龙,coiled dragon,该纹样采用严格的圆形构图，由中心螺旋盘踞的蟠龙与外圈连续“鱼纹”边饰共同构成视觉体系，整体呈现由外向内的聚焦动势。蟠龙身形修长呈带状，其主体以密集的“菱形格”复合纹填充，形成清晰的节律感与鳞片象征；身缘辅以“串珠纹”勾勒边界，既强化结构分区，也增强礼器纹饰的秩序性。龙首位于构图中心处并采取正面呈现，额部、吻部及角饰均以几何方式夸饰化处理，吻端外翻，体现商代龙纹的抽象凝练与神异气势。,"The pattern adopts a strict circular composition, consisting of a centrally coiled panlong and an outer ring of continuous fish-pattern units, creating a strong centripetal visual dynamic that guides the viewer’s gaze inward. The dragon’s body is elongated and ribbon-like, filled with dense diamond-lattice patterns that establish a rhythmic scalation effect. A beaded border runs along the edges of the body, serving both as a visual divider and as a marker of ornamental order on ritual bronzes. The dragon’s head occupies the center of the composition in a frontal view, with the brow, snout, and horns rendered in geometric exaggeration, and the upturned mouth expressing the highly abstract and numinous aesthetic characteristic of Shang dragon imagery.",器物,Utensil & Vessel,铜器,bronze ware,铜盘,bronze pan,商代,Shang,,,河南安阳殷墟妇好墓,"Tomb of Fu Hao, Yinxu, Anyang, Henan Province",身份,Identity,权威，守护，通灵,"authority, guardianship, spiritual communication",蟠龙象征水与雨的神力，是调节自然与沟通神灵的重要图腾。其盘绕姿态寓意聚势蓄能与核心守护，与盘心的面具形象共同呈现“中心神力被护卫”的宇宙意象。外沿的鱼形单元进一步强化其水域与祈福的语境。作为礼器装饰，这种龙与兽面组合常用以体现王权合法性与祭祀的庄严性，承载人与祖灵、自然力量之间的媒介功能。,"The coiled dragon symbolizes divine control over water and rain, serving as a ritual mediator between humans and supernatural forces. Its spiraling posture conveys contained power and protective guardianship, reinforced by the central bestial mask as a cosmic heart. The fish-like rim units underscore the motif’s aquatic and blessing-oriented context. As a ritual vessel ornament, the dragon–mask pairing embodied sovereignty, sacred legitimacy, and communication with ancestral or natural powers.",单体,Single,"形状-圆形,形状-螺旋/回形","circle-shape,spiral-shape",抽象,abstract,中,medium,,,,,,,,,,
 ,整体-物像_中国传统纹样图鉴（古月）,,凤_003 (1),动物,Creature,凤，牡丹花,"phoenix, peony",双凤,paired phoenixs,一对相向而立的凤凰。两凤展翅欲飞，羽翎层叠，尾羽修长且向外舒展，形成对称的视觉格局。双凤首部高昂，冠羽上扬，喙微张，似在呼应或鸣唱。画面下方配以牡丹花枝，起到衬托与平衡之效。整体构图上呈“上动下静”，既华丽又庄重。,"A pair of phoenixes facing each other in an elegant and symmetrical composition. Both birds spread their wings as if in flight, their plumage rendered in layered detail, with long, outward-flowing tail feathers creating a sense of balance and movement. The heads are raised proudly, crests uplifted, and slightly open beaks suggest a moment of mutual song or call. Below the phoenixes, blooming peonies serve as a complementary base motif, enhancing compositional stability. The overall structure follows a dynamic equilibrium—motion above, stillness below—embodying both opulence and solemnity.",织绣,Textile,服装,clothing,褂襕,gua lan,清代,Qing,,,,,"身份,吉祥","Identity,Auspiciousness",王权，繁荣，尊贵,"imperial authority, dignity, prosperity",凤凰为百鸟之王，象征祥瑞、礼仪与王权。双凤相对的姿态寓意阴阳调和、夫妻和合与国运昌隆。方的牡丹则象征富贵与繁荣。此纹样多用于后妃礼服或庆典服饰，代表尊贵和吉祥。,"The phoenix, regarded as the king of birds, symbolizes auspiciousness, virtue, and imperial authority. The paired composition conveys harmony between yin and yang, marital unity, and the flourishing of the realm, while the accompanying peony signifies wealth and prosperity. This pattern was commonly used on the ceremonial garments of empresses and high-ranking women, serving as a visual emblem of dignity and good fortune. ",场景性组合,Scene combination,对称,symmetry,抽象,abstract,低,low,,,,,,,,,,
 ,中国纹样全集_4宋元明清（吴山）93,,凤_004 (1),动物,Creature,凤，云,"phoenix, cloud",云中飞凤,flying phoenix with cloud,一只展翅高飞的凤凰，身体略呈弧形，翅羽舒展，尾羽修长成放射状向左外弧度铺展。凤凰头部前伸，喙尖微启，姿态矫健而灵动。其右下方伴有卷云纹环绕，线条旋转流动，形成风起云涌的动感节奏。,"A soaring phoenix with an arched, streamlined body and fully outstretched wings. Its long tail feathers radiate outward in a graceful arc to the left, while the head extends forward, beak slightly open, conveying alertness and vitality. Beneath the bird, swirling cloud patterns create a sense of motion, suggesting wind and rising currents of air.",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,,,吉祥,Auspiciousness,保佑，升华,"protection, transcendence",凤凰为百鸟之王，象征祥瑞、德治与天命。其翱翔云间的形象寓意圣德感天、升腾通灵。瓷器上绘制飞凤，常为宫廷或贵族用器，既为祥瑞之兆，又寓守护、升华与精神净化之意。,"The phoenix, regarded as the king of birds, symbolizes auspiciousness, moral virtue, and the Mandate of Heaven. When painted on ceramics, the flying phoenix often adorned court or elite wares, serving both as a symbol of blessing and protection and as a metaphor for spiritual elevation and purity.",场景性组合,Scene combination,均衡,balande,抽象,abstract,高,high,,,,,,,,,,
 ,94,,凤_004 (3),"动物,自然","Creature,Nature",凤、牡丹花,"phoenix, peony",牡丹凤纹,phoenix with peony,整体为圆形，上方为牡丹花纹和草叶纹，花瓣层叠繁密。下方为一只展翅的凤凰，头部上扬、羽翼舒展、尾羽自然下垂，似在花丛间翱翔。,"The pattern is circular in composition. The upper section features a peony motif with densely layered petals and accompanying foliage. Below, a phoenix spreads its wings in flight, its head lifted gracefully, wings extended, and tail feathers flowing downward in a natural curve, as if soaring amidst the blooming flowers.",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,陕西铜川黄堡镇,"Huangbao Town, Tongchuan, Shaanxi Province",吉祥,Auspiciousness,繁荣，福气,"prosperity, blessing",凤凰与牡丹的组合寓意高贵与祥瑞，象征王者之德与盛世繁荣。牡丹为“花中之王”，代表富贵与昌盛；凤凰为“百鸟之王”，象征礼仪与天命。二者相互呼应，构成“凤穿牡丹”的吉祥图案，寓意福寿双全、富贵长春。此类纹样常见于宋代北方窑系瓷器，用于器盖、盘心、碗底等部位，兼具装饰与祈福功能。,"The pairing of the phoenix and peony embodies nobility and auspiciousness, representing imperial virtue and the prosperity of a harmonious reign. The peony, revered as the “king of flowers,” symbolizes wealth and flourishing life, while the phoenix, the “king of birds,” signifies virtue, order, and celestial mandate. Together they form the “phoenix amid peony” motif, a visual metaphor for dual blessings—fortune and longevity. Such motifs frequently appeared on northern Song ceramics from kilns, typically adorning vessel lids, dish centers, or bowl interiors.",场景性组合,Scene combination,"形状-圆形,繁复","circle-shape,complexity",写实,realistic,低,low,,,,,,,,,,
 ,94,,凤_004 (4),"动物,自然","Creature,Nature",凤，菊花,"phoenix, chrysanthemum",双凤戏菊花,paired phoenixs with chrysanthemum,整体为圆形，分为内外两层。中央为一株盛开的菊花，花瓣层叠、向外舒展，周围环绕卷草与枝蔓。外圈对称分布两只展翅的凤凰，尾羽流畅飘逸，喙微启，似在花间飞舞。枝叶与凤羽相互缠绕，形成生动的“花鸟相依”画面。边缘以连续的回纹环绕，起到稳定和框定视觉的作用，使整体图案在繁丽中保持秩序。,"A circular composition with a clear concentric layout. At the center is a blooming chrysanthemum with layered petals radiating outward, surrounded by scrolling tendrils and foliage. Two symmetrically arranged phoenixes occupy the outer ring, their wings spread gracefully and tails flowing in elegant curves. The birds appear to hover amidst the flowers, their beaks slightly open as if in song. The intertwining of feathers and floral stems creates a lively interplay of motion and stillness. A continuous meander border encircles the rim.",器物,Utensil & Vessel,瓷器,porcelain ware,瓷碗,porcelain bowl,宋代,Song,,,山东淄博临淄,"Linzi District, Zibo, Shandong Province",吉祥,Auspiciousness,繁荣，长寿,"prosperity, longevity",凤与菊的组合寓意高洁与祥瑞。凤凰为百鸟之王，象征德行与祥和之治。菊花则为隐逸与长寿的象征，代表坚贞与生命的延续。二者相结合，寓意“太平盛世、长久昌荣”。此纹样常见于宋代北方窑口器物上，体现了日常器物中蕴含的祝福。,"The pairing of the phoenix and chrysanthemum conveys themes of purity, prosperity, and auspicious harmony. The phoenix, king of birds, symbolizes virtuous rule and celestial favor, while the chrysanthemum represents longevity, integrity, and enduring vitality. Together, they evoke ideals of “peaceful reign and everlasting prosperity.” Such motifs were common on Northern Song ceramics.",场景性组合,Scene combination,"形状-圆形,繁复","circle-shape,complexity",写实,realistic,低,low,,,,,,,,,,
 ,94,,凤_004 (5),"动物,自然","Creature,Nature",凤，石榴,"phoenix, pomegranate",双凤石榴,paired phoenixs across pomegranate,整体为圆形，分为内外两层。中央饰一朵盛开的石榴花，花瓣外展、花心饱满。外圈对称分布两只展翅的凤凰，姿态相向而飞，尾羽修长、身姿柔美。二凤之间以卷草纹相连，枝蔓缠绕、花叶交错，使画面形成繁而不乱的视觉节奏。外围以连续云纹或回纹作边界。,"A circular composition with a clear concentric layout. At the center is a blooming pomegranate flower, whose petals radiate outward in full blossom. Around it, two phoenixes are symmetrically arranged, their wings extended in mid-flight and their long tail feathers flowing gracefully. The two birds are connected by intertwined scrolls and foliage, creating a harmonious rhythm of motion and ornamentation, with a framing border of meander patterns.",器物,Utensil & Vessel,瓷器,porcelain ware,瓷盘,porcelain platter,宋代,Song,,,山东淄博临淄,"Linzi District, Zibo, Shandong Province",吉祥,Auspiciousness,繁荣，繁衍,"prosperity, fertility",凤凰象征祥瑞与高贵，石榴代表多子与繁荣，二者结合寓意“凤衔石榴、繁花多实”，象征子嗣昌盛与家族延续。此类纹样体现了对于富足、吉祥与生命延续的精神追求。,"The phoenix symbolizes auspiciousness and nobility, while the pomegranate, rich with seeds, represents fertility and abundance. Together, the motif conveys the blessing of “prosperity and flourishing lineage.” It reflects the ideals of wealth, harmony, and the continuity of life.",场景性组合,Scene combination,"形状-圆形,繁复","circle-shape,complexity",写实,realistic,低,low,,,,,,,,,,
 ,94,,凤_004 (6),"动物,自然","Creature,Nature",凤、牡丹花,"phoenix, peony",双凤穿牡丹,paired phoenixs with peony,整体为圆形，主体为两只相对飞翔的凤凰，间以盛开的牡丹花。双凤体态轻盈，翅羽张扬，尾羽流动回旋，与花枝相互交织，形成充满生机的画面中心。牡丹花瓣层叠，与凤羽的线条交错呼应。外围以连续的回纹饰带环绕，起到视觉收束与结构平衡的作用。,"A circular composition with featuring two phoenixes in mirrored flight among blooming peonies. The birds’ elegant wings and flowing tail feathers intertwine with the floral branches, creating a dynamic interplay of movement and stillness at the center of the design. The peonies, rendered in full bloom with layered petals, complement the linear rhythm of the feathers. A continuous meander border frames the composition.",器物,Utensil & Vessel,瓷器,porcelain ware,瓷碗,porcelain bowl,宋代,Song,,,江西吉州窑址,"Site of the Jizhou Kiln, Jiangxi Province",吉祥,Auspiciousness,繁荣，福气,"prosperity, blessing",凤与牡丹的结合寓意富贵、祥和与盛世之象。凤凰作为百鸟之王，象征吉祥与高贵；牡丹为“花中之王”，代表繁荣与富丽。二者相映成趣，寓意国泰民安、富贵长春。,"The combination of phoenix and peony embodies the themes of prosperity, harmony, and flourishing life. The phoenix, king of birds, symbolizes nobility and auspiciousness, while the peony, king of flowers, signifies wealth and grandeur. Together they convey the auspicious message of “peace and everlasting prosperity.”",场景性组合,Scene combination,形状-圆形,circle-shape,写实,realistic,高,high,,,,,,,,,,
 ,94,,凤_004 (7),动物,Creature,凤，云,"phoenix, cloud",飞凤,flying phoenix,一只展翅高飞的凤凰，身体修长，双翼平展，尾羽下垂如流苏状线条。凤首上扬，姿态矫健，显露腾空之势。周围点缀卷云与涡形云纹，营造出飞翔于云中的空间感与神秘气氛。,"A phoenix in flight, its slender body dynamically extended with wings spread wide and tail feathers cascading in flowing lines. The bird’s head is lifted, crowned with elegant plumes, exuding vitality and movement. Surrounding it are spiraling and scroll-shaped clouds, as if the phoenix soars amidst celestial vapors.",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,,,吉祥,Auspiciousness,繁荣，和谐,"prosperity, harmony",凤凰与云气的组合象征祥瑞降临与天命昭示。凤凰为百鸟之王，象征王者的德行与盛世太平；云气则代表天意与吉兆。寓意政通人和、风调雨顺。,"The combination of the phoenix and clouds embodies themes of auspicious descent and divine mandate. The phoenix, king of birds, symbolizes virtue, harmony, and royal authority, while the swirling clouds signify heavenly will and good omens, expressing wishes for peace, prosperity, and the alignment of Heaven’s favor with human order.",场景性组合,Scene combination,"节奏韵律,动感","rhythm,dynamism",抽象,abstract,中,medium,,,,,,,,,,
 ,95,,凤_004 (8),动物,Creature,凤，草,"phoenix, sprig",飞凤衔草,flying phoenix holding sprig,一只振翅飞翔的凤凰。体态轻盈修长。凤首上扬，喙中衔一枝柔叶。双翼对称舒展，羽翼层叠分明；尾羽极度延展，卷曲成柔和的螺旋线条，带出流动的韵律感。,"A phoenix in graceful flight, its slender form exuding lightness and vitality. The bird tilts its head upward, holding a delicate sprig in its beak. Its wings spread symmetrically with distinct feather layers, while the elongated tail feathers curve into fluid spirals, evoking rhythmic motion.",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,,,吉祥,Auspiciousness,和谐，生机,"harmony, vitality",凤衔草寓意报瑞呈祥与万物滋生。凤凰作为祥瑞之禽，口衔草叶象征携来春意与福泽，寓意太平盛世与生命繁荣。其飞翔姿态体现出升腾与通达的气韵，也寓指天下和顺。,"Phoenix holding a sprig symbolizing the arrival of blessings and the renewal of life. The phoenix, emblem of virtue and harmony, carries a plant to herald prosperity and peace—signifying the flourishing of nature and the benevolence of enlightened rule. The bird’s upward flight embodies ascent. ",单体,Single,"节奏韵律,动感","rhythm,dynamism",抽象,abstract,高,high,,,,,,,,,,
 ,95,,凤_004 (9),动物,Creature,凤,phoenix,飞凤,flying phoenix,一只展翅飞翔的凤凰。姿势矫健，凤首上扬，冠羽飘逸，喙尖而闭合。双翼张开，羽翎呈分层展开状，细部刻画精致。尾羽为全图的视觉重心，呈扇形分布，羽条层叠对称、末端微卷。,"A single phoenix in flight. The bird’s posture is vigorous and elegant, with its head lifted and crest feathers flowing freely. The beak is sharp yet closed, suggesting poise and restraint. The wings are fully extended, their layered feathers meticulously rendered with refined detail. The tail forms the visual focus of the composition—fan-shaped, symmetrically arranged, and gently curling at the tips, conveying both rhythm and grace.",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,,,吉祥,Auspiciousness,和谐，福气，升腾,"harmony, blessing, ascension",凤凰象征王者之德、祥瑞降临与天地和合。此飞凤形象，展翅腾飞、姿态高昂，寓意太平盛世、万物升华。尾羽的放射造型亦寓意福运绵延与生生不息。,"The phoenix represents the virtue of rulers, auspicious omens, and the harmony between heaven and earth. The soaring posture of this phoenix, with its uplifted wings and proud bearing, embodies the ideals of peace and prosperity, as well as the flourishing of all things under enlightened rule. The radiating form of the tail feathers further signifies unending blessings and the perpetual renewal of life.",单体,Single,"节奏韵律,动感","rhythm,dynamism",抽象,abstract,高,high,,,,,,,,,,
 ,95,,凤_004 (10),动物,Creature,凤,phoenix,飞凤,flying phoenix,一只展翅飞翔的凤凰，姿态轻盈而优雅。凤首前俯，喙尖细长，颈部弯曲柔顺。双翼平展，羽翎分层铺陈，富有韵律。凤尾为全图视觉重心，自背部高高扬起，尾羽五缕并列，呈波浪状流线，向后舒展并上扬，强化了整体的动势。画面呈现“凌空滑翔”的姿态。,"A phoenix in graceful flight, its form slender and dynamic. The bird tilts its head slightly forward with a slender beak and a gracefully arched neck. The wings extend outward in layered rhythm, each feather clearly articulated. The long tail feathers, five in number, rise and flow backward in soft, undulating curves, creating a sense of buoyant movement. ",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,,,吉祥,Auspiciousness,和谐，福气，升腾,"harmony, blessing, ascension",凤象征祥瑞与王德，其展翼飞翔的形象寓意升腾、和谐与昌盛。其轻盈上扬的姿态暗示精神升华与自然之气的流动，亦体现文人士大夫理想中的清虚与超逸之美。尾羽的放射造型象征延续与繁荣，寓意家国昌盛、福寿绵长。,"The phoenix embodies auspicious virtue and imperial grace. Its soaring form symbolizes ascension, harmony, and prosperity. The upward, fluid motion suggests spiritual elevation and the natural flow of cosmic energy, resonating with the literati ideal of purity and transcendence. The radiating tail feathers further signify continuity, longevity, and flourishing vitality.",单体,Single,动感,dynamism,抽象,abstract,高,high,,,,,,,,,,
 ,95,,凤_004 (11),动物,Creature,凤,phoenix,飞凤,flying phoenix,一只展翼高飞的凤凰，姿态简练而充满动势。凤首微昂，喙前伸。双翼斜展，羽翎整齐而略带弧度。尾羽夸张，条长羽自体后舒展外扬，呈平行波浪状延展，成为视觉重心。,"A phoenix in elegant flight, its form both simplified and full of motion. The bird raises its head slightly, extending its beak. Its wings spread diagonally with smooth, curving feathers. The long tail, composed of five sweeping plumes, fans out in parallel, wave-like curves, forming the visual center of the composition.",器物,Utensil & Vessel,瓷器,porcelain ware,,,宋代,Song,,,,,吉祥,Auspiciousness,和谐，福气，升腾,"harmony, blessing, ascension",凤凰象征王者之德、祥瑞降临与天地和合。其舒展的飞翔姿态体现出升腾与通达的气韵，也寓指天下和顺。,"The phoenix symbolizes the virtue of the sovereign, the arrival of auspicious omens, and the harmony between heaven and earth. Its graceful, soaring posture conveys an aura of ascension and fluid vitality, alluding to universal harmony and prosperity under heaven.",单体,Single,"节奏韵律,动感",rhythm,抽象,abstract,高,high,,,,,,,,,,
 ,95,,凤_004 (12),动物,"Creature,Nature",凤、花，枝条,"phoenix, flower, branch",双凤戏花,paired phoenixs holding flowers,两只对称飞舞的凤凰，环绕花枝与卷叶形成圆环式构图。双凤首尾相对，体态修长，双翼舒展，尾羽上扬并卷曲成弧线。花枝、叶片与凤体交织相连，构成繁而不乱的装饰画面。整体呈现出一种旋转流动的动势。,"Two phoenixes in flight, arranged symmetrically around intertwining floral branches to form a circular composition. The paired birds face each other, their elongated bodies and spreading wings creating balance and grace. Their tails curve upward in elegant spirals, while the surrounding flowers and leaves intertwine fluidly with their forms. The entire design conveys rhythmic motion within a harmonious structure.",器物,Utensil & Vessel,瓷器,porcelain ware,瓷盘,porcelain platter,宋代,Song,,,,,吉祥,Auspiciousness,繁荣，和谐，婚姻美满,"prosperity, harmony， good marriage",两凤相对象征阴阳调和、夫妻恩合。花枝盛开寓意生机与富贵。环形构图象征宇宙循环与永恒，寓意太平盛世与社会安定。整体传达出人世与自然、秩序与生机之间的统一。,"The facing birds represent yin–yang balance and conjugal unity, while the blooming flowers signify vitality and wealth. The circular composition evokes cosmic continuity and eternal peace, reflecting aspirations for harmony between humanity and nature.",场景性组合,Scene combination,"形状-环形,动态对称","ring-shape,dynamic symmetry",写实,realistic,高,high,,,,,,,,,,
 ,95,,凤_004 (13),"动物,自然","Creature,Nature",凤、花，枝条,"phoenix, flower, branch",凤鸟衔花,a phoenix holding flowers,纹样整体为椭圆形，以一只振翅飞舞的凤凰为中心，环绕于繁盛的花枝卷叶之中。凤体修长，双翅外展，尾羽流畅舒展。其口微张，喙前似衔花枝，暗示“穿花而翔”的姿态。四周以对称分布的花朵与缠枝装饰环绕，花叶层层交错。,"The pattern composed within an oval frame, centering on a phoenix in mid-flight surrounded by luxuriant floral scrolls. The bird’s slender body and elegantly outstretched wings convey a dynamic sense of motion, while its flowing tail feathers extend gracefully behind. The beak is slightly open, appearing to hold a flower branch, suggesting the lively posture of “flying through blossoms.” Around the central figure, symmetrically arranged blossoms and intertwined foliage form an ornamental border of rhythmic layers and graceful curves.",器物,Utensil & Vessel,瓷器,porcelain ware,瓷枕,porcelain pillow,宋代,Song,,,,,吉祥,Auspiciousness,繁荣，和谐，生机,"prosperity, harmony， vitality",凤为百鸟之王，寓意尊贵与太平；花枝盛开象征繁荣与美好生活。凤穿花的意象表达天与地、灵与物之间的交感，也寓意“花开富贵”“和合圆满”。,"The phoenix, sovereign of all birds, represents nobility and peace, while the blooming flowers signify prosperity and beauty. The imagery of the phoenix flying through flowers suggests the harmonious communion between the celestial and the earthly, embodying ideals of flourishing life and perfect union.",装饰性组合,Decorative combination,"动态对称,繁复","dynamic symmetry,complexity",写实,realistic,中,medium,,,,,,,,,,
 ,131,,凤_004 (14),动物,Creature,凤，云,"phoenix, cloud",云间飞凤,flying phoenix among clouds,一只振翅飞翔的凤凰穿行于云气之中。凤首高昂，口微张，长冠上扬，羽毛以细密刻线表现出蓬松质感。其双翼平展，羽翎层层分布。尾羽修长，向后飘扬，与周围的卷云纹交织成流动的节奏。云气以旋涡状线条表现，层层环绕于凤体四周，构成“凤行云中”的景象。,"A phoenix soaring gracefully amid swirling clouds. The bird raises its head with an open beak and upward-curving crest, while its feathers are rendered with fine incised lines to convey softness and vitality. The outstretched wings and long trailing tail generate a sense of motion. The surrounding clouds, composed of spiral and curvilinear motifs, envelop the phoenix in rhythmic layers.",建筑,Utensil & Vessel,石刻,,,,宋代,Song,,,河南登封少林寺,"Shaolin Temple, Dengfeng, Henan Province",吉祥,Auspiciousness,和谐，升腾,"harmony, ascension",凤凰为百鸟之王，寓意王权、圣德与和谐秩序；云气则为天界象征，代表神灵的显化与祥瑞的降临。此图表现“凤随云起”的景象，象征帝德昭明、天下升平。,"As the sovereign of birds, the phoenix represents imperial virtue and cosmic harmony, while clouds embody celestial presence and the descent of blessings. The imagery of the phoenix rising amid clouds conveys the ideal of heavenly favor and peaceful reign.",场景性组合,Scene combination,节奏韵律,rhythm,抽象,abstract,低,low,,,,,,,,,,
 ,131,,凤_004 (15),"动物,自然","Creature,Nature",凤，云，枝条,"phoenix, cloud, branch",云中双凤,paired phoenixs among clouds,外部为矩形，环绕草叶纹。内部为圆形，两只凤动态对称，一上—下对飞，头部相向。周围云纹以密集的螺旋线和卷草状曲线环绕二凤，层层叠叠。,"The composition is framed within a rectangular border decorated with scrolling leaf patterns. Inside, a circular medallion contains two phoenixes arranged in dynamic symmetry—one ascending and the other descending, their heads turned toward each other. Around them, dense spirals and curvilinear cloud motifs encircle the pair in multiple layered whorls, creating a sense of rhythmic movement and celestial depth.",建筑,Utensil & Vessel,石刻,,,,宋代,Song,,,,,吉祥,Auspiciousness,和谐，升腾,"harmony, ascension",凤为阴阳双体的象征，代表天地交泰、夫妻和合与社会秩序的平衡；云气则象征天界与灵气的流动。双凤在云中流转，构成天人相感、祥瑞降临的象征。,"The twin phoenixes symbolize the duality of yin and yang, embodying cosmic harmony, marital unity, and the balance of social order. The surrounding cloud motifs represent the flow of divine energy and the celestial realm. Together, the phoenixes soaring through clouds evoke the resonance between heaven and humanity and signify the arrival of auspicious blessings.",装饰性组合,Decorative combination,"形状-圆形,动态对称","circle-shape,dynamic symmetry",写实,realistic,高,high,,,,,,,,,,
 ,158,,凤_004 (16),动物,Creature,凤，莲花,"phoenix, lotus",双凤立莲台,paired phoenixs on louts,两只对称伫立的凤凰，脚踏莲花台，头部相向而立，姿态优雅端庄。两凤颈部修长、胸羽丰盈，双翼内收而上举，尾羽外展，呈扇形展开，形成呼应的弧形轮廓。莲花台瓣层分明，瓣尖外翻。两凤之间升起一缕祥云，似在沟通天地或传递灵气。,"A pair of phoenixes standing symmetrically atop lotus pedestals, facing each other with poised elegance. Each bird has a slender neck, full chest, and gracefully raised wings forming an arc that mirrors its counterpart. The tail feathers spread outward like fans, echoing the curvature of the wings. Beneath them, layered lotus petals unfold outward. Between the two phoenixes rises a pair of spiraling cloud lines, suggesting a connection between heaven and earth.","平面绘画,建筑","Pictorial work,Architecture",壁画,wall painting,壁画帽饰,,宋代,Song,,,甘肃敦煌莫高窟,"Mogao Grottoes, Dunhuang, Gansu Province",吉祥,"Auspiciousness,Ideology",和谐，守护，佛教，净化,"harmony, guardianship, Buddhism, purity",“凤立莲台”融合了佛教与中原祥瑞文化的象征体系。莲花象征清净、觉悟与神性空间，凤凰代表祥瑞与美德。双凤相对，寓意阴阳和合、天地交感，也象征佛法的守护与灵魂的升华。,"The “Phoenixes on Lotus” motif merges Buddhist symbolism with Chinese auspicious iconography. The lotus signifies purity, enlightenment, and the sacred realm, while the phoenix embodies virtue and harmony. The mirrored pairing of phoenixes symbolizes cosmic balance and the union of yin and yang, serving as guardians of Buddhist law and emblems of spiritual transcendence.",装饰性组合,Decorative combination,对称,symmetry,写实,realistic,高,high,,,,,,,,,,
 ,158,,凤_004 (17),"动物,自然","Creature,Nature",凤，花，枝条,"phoenix, flower, branch",花间凤,Phoenix among Blossoms,一只凤凰立于花丛之中。凤体修长挺立，头部高昂，喙中衔珠，神态庄严而灵动。羽翼展开，羽片上装饰有对称的圆形斑点纹，富有装饰节奏感。长尾羽上卷成环，尾羽与花卉纹饰交织。下方以层叠的莲瓣形花叶作为基座，周围簇拥着盛开的花朵，花瓣线条清晰，呈放射状展开。,"A phoenix standing gracefully amidst blooming flowers. The bird’s slender body and elevated head convey dignity and vitality, while it holds a sacred pearl in its beak. Its wings are spread wide, each feather decorated with symmetrical circular spots. Below, overlapping lotus-like petals form a pedestal, surrounded by radiating blossoms whose petals echo the phoenix’s plumage.","平面绘画,建筑","Pictorial work,Architecture",壁画,wall painting,壁画帽饰,,宋代,Song,,,甘肃敦煌莫高窟,"Mogao Grottoes, Dunhuang, Gansu Province",吉祥,"Auspiciousness,Ideology",繁荣，佛教，觉悟,"prosperity, Buddhism, enlightenment",“凤衔珠、花间立”的图像象征祥瑞、富贵与觉悟。凤凰为百鸟之王，象征祥和与王者之德；珠代表智慧与佛法光明；花则寓意生命繁荣与大地生机。暗合佛教中“灵禽献宝、普照众生”的寓意，反映出对自然生命与吉祥秩序的崇尚。,"The imagery of a phoenix holding a pearl amid blossoms signifies auspiciousness, prosperity, and enlightenment. The phoenix, ruler of all birds, represents harmony and virtuous authority; the pearl symbolizes wisdom and the radiance of Buddhist truth; the blossoms evoke vitality and earthly abundance. Their integration mirrors Buddhist themes of “divine birds offering jewels to enlighten all beings.”",场景性组合,Scene combination,均衡,balande,抽象,abstract,高,high,,,,,,,,,,
